in s,C1 in V
-3.8409515E+00,5.45777E-01
-3.8405840E+00,5.43824E-01
-3.8402165E+00,5.36988E-01
-3.8398490E+00,5.24293E-01
-3.8394814E+00,5.05738E-01
-3.8391139E+00,5.08668E-01
-3.8387464E+00,5.15504E-01
-3.8383789E+00,5.24293E-01
-3.8380114E+00,5.37965E-01
-3.8376438E+00,5.44801E-01
-3.8372763E+00,5.41871E-01
-3.8369088E+00,5.29176E-01
-3.8365413E+00,5.13551E-01
-3.8361738E+00,5.01832E-01
-3.8358062E+00,5.05738E-01
-3.8354387E+00,5.17457E-01
-3.8350712E+00,5.29176E-01
-3.8347037E+00,5.37965E-01
-3.8343362E+00,5.41871E-01
-3.8339686E+00,5.29176E-01
-3.8336011E+00,5.18434E-01
-3.8332336E+00,5.04762E-01
-3.8328661E+00,5.04762E-01
-3.8324986E+00,5.06715E-01
-3.8321310E+00,5.24293E-01
-3.8317635E+00,5.34059E-01
-3.8313960E+00,5.45777E-01
-3.8310285E+00,5.45777E-01
-3.8306610E+00,5.32105E-01
-3.8302934E+00,5.17457E-01
-3.8299259E+00,5.05738E-01
-3.8295584E+00,5.07691E-01
-3.8291909E+00,5.13551E-01
-3.8288234E+00,5.29176E-01
-3.8284558E+00,5.38941E-01
-3.8280883E+00,5.47730E-01
-3.8277208E+00,5.40895E-01
-3.8273533E+00,5.30152E-01
-3.8269858E+00,5.12574E-01
-3.8266182E+00,5.05738E-01
-3.8262507E+00,5.05738E-01
-3.8258832E+00,5.17457E-01
-3.8255157E+00,5.32105E-01
-3.8251482E+00,5.39918E-01
-3.8247806E+00,5.41871E-01
-3.8244131E+00,5.32105E-01
-3.8240456E+00,5.19410E-01
-3.8236781E+00,5.06715E-01
-3.8233106E+00,5.06715E-01
-3.8229430E+00,5.13551E-01
-3.8225755E+00,5.21363E-01
-3.8222080E+00,5.36988E-01
-3.8218405E+00,5.39918E-01
-3.8214730E+00,5.44801E-01
-3.8211054E+00,5.29176E-01
-3.8207379E+00,5.13551E-01
-3.8203704E+00,5.02809E-01
-3.8200029E+00,5.09645E-01
-3.8196354E+00,5.18434E-01
-3.8192678E+00,5.27223E-01
-3.8189003E+00,5.44801E-01
-3.8185328E+00,5.45777E-01
-3.8181653E+00,5.38941E-01
-3.8177978E+00,5.26246E-01
-3.8174302E+00,5.09645E-01
-3.8170627E+00,5.02809E-01
-3.8166952E+00,5.08668E-01
-3.8163277E+00,5.21363E-01
-3.8159602E+00,5.33082E-01
-3.8155926E+00,5.45777E-01
-3.8152251E+00,5.39918E-01
-3.8148576E+00,5.30152E-01
-3.8144901E+00,5.13551E-01
-3.8141226E+00,5.03785E-01
-3.8137550E+00,5.01832E-01
-3.8133875E+00,5.15504E-01
-3.8130200E+00,5.25270E-01
-3.8126525E+00,5.35035E-01
-3.8122850E+00,5.41871E-01
-3.8119174E+00,5.38941E-01
-3.8115499E+00,5.29176E-01
-3.8111824E+00,5.12574E-01
-3.8108149E+00,5.01832E-01
-3.8104474E+00,5.09645E-01
-3.8100798E+00,5.18434E-01
-3.8097123E+00,5.35035E-01
-3.8093448E+00,5.42848E-01
-3.8089773E+00,5.45777E-01
-3.8086098E+00,5.36988E-01
-3.8082422E+00,5.21363E-01
-3.8078747E+00,5.06715E-01
-3.8075072E+00,5.02809E-01
-3.8071397E+00,5.12574E-01
-3.8067722E+00,5.23316E-01
-3.8064046E+00,5.36012E-01
-3.8060371E+00,5.41871E-01
-3.8056696E+00,5.36988E-01
-3.8053021E+00,5.27223E-01
-3.8049346E+00,5.12574E-01
-3.8045670E+00,5.03785E-01
-3.8041995E+00,5.05738E-01
-3.8038320E+00,5.16480E-01
-3.8034645E+00,5.31129E-01
-3.8030970E+00,5.39918E-01
-3.8027294E+00,5.45777E-01
-3.8023619E+00,5.40895E-01
-3.8019944E+00,5.25270E-01
-3.8016269E+00,5.13551E-01
-3.8012594E+00,5.05738E-01
-3.8008918E+00,5.08668E-01
-3.8005243E+00,5.19410E-01
