,Magnitude (Step of 0.001),N(m)
1123,9.890024743,4
1124,9.891024743,4
1125,9.892024743,4
1126,9.893024743,4
1127,9.894024743,4
1128,9.895024743,4
1129,9.896024743,4
1130,9.897024743,4
1131,9.898024743,4
1132,9.899024743,4
1133,9.900024743,4
1134,9.901024743,4
1135,9.902024743,4
1136,9.903024743,4
1137,9.904024743,4
1138,9.905024743,4
1139,9.906024743,4
1140,9.907024743,4
1141,9.908024743,4
1142,9.909024743,4
1143,9.910024743,5
1144,9.911024743,5
1145,9.912024743,5
1146,9.913024743,5
1147,9.914024743,5
1148,9.915024743,5
1149,9.916024743,5
1150,9.917024743,5
1151,9.918024743,5
1152,9.919024743,5
1153,9.920024743,5
1154,9.921024743,5
1155,9.922024743,5
1156,9.923024743,5
1157,9.924024743,5
1158,9.925024743,5
1159,9.926024743,5
1160,9.927024743,5
1161,9.928024743,5
1162,9.929024743,5
1163,9.930024743,5
1164,9.931024743,5
1165,9.932024743,5
1166,9.933024743,5
1167,9.934024743,5
1168,9.935024743,5
1169,9.936024743,5
1170,9.937024743,5
1171,9.938024743,5
1172,9.939024743,5
1173,9.940024743,5
1174,9.941024743,5
1175,9.942024743,5
1176,9.943024743,5
1177,9.944024743,5
1178,9.945024743,5
1179,9.946024743,5
1180,9.947024743,5
1181,9.948024743,5
1182,9.949024743,5
1183,9.950024743,5
1184,9.951024743,5
1185,9.952024743,5
1186,9.953024743,5
1187,9.954024743,5
1188,9.955024743,5
1189,9.956024743,5
1190,9.957024743,5
1191,9.958024743,5
1192,9.959024743,5
1193,9.960024743,5
1194,9.961024743,5
1195,9.962024743,5
1196,9.963024743,5
1197,9.964024743,5
1198,9.965024743,5
1199,9.966024743,5
1200,9.967024743,5
1201,9.968024743,5
1202,9.969024743,5
1203,9.970024743,5
1204,9.971024743,5
1205,9.972024743,5
1206,9.973024743,5
1207,9.974024743,5
1208,9.975024743,5
1209,9.976024743,5
1210,9.977024743,5
1211,9.978024743,5
1212,9.979024743,5
1213,9.980024743,5
1214,9.981024743,5
1215,9.982024743,5
1216,9.983024743,5
1217,9.984024743,5
1218,9.985024743,5
1219,9.986024743,5
1220,9.987024743,5
1221,9.988024743,5
1222,9.989024743,5
1223,9.990024743,5
1224,9.991024743,5
1225,9.992024743,6
1226,9.993024743,6
1227,9.994024743,6
1228,9.995024743,6
1229,9.996024743,6
1230,9.997024743,6
1231,9.998024743,6
1232,9.999024743,6
1233,10.00002474,6
1234,10.00102474,6
1235,10.00202474,6
1236,10.00302474,6
1237,10.00402474,6
1238,10.00502474,6
1239,10.00602474,6
1240,10.00702474,6
1241,10.00802474,6
1242,10.00902474,6
1243,10.01002474,6
1244,10.01102474,6
1245,10.01202474,6
1246,10.01302474,6
1247,10.01402474,6
1248,10.01502474,6
1249,10.01602474,6
1250,10.01702474,6
1251,10.01802474,6
1252,10.01902474,6
1253,10.02002474,6
1254,10.02102474,6
1255,10.02202474,6
1256,10.02302474,6
1257,10.02402474,6
1258,10.02502474,6
1259,10.02602474,6
1260,10.02702474,6
1261,10.02802474,6
1262,10.02902474,6
1263,10.03002474,6
1264,10.03102474,6
1265,10.03202474,6
1266,10.03302474,6
1267,10.03402474,6
1268,10.03502474,6
1269,10.03602474,6
1270,10.03702474,6
1271,10.03802474,6
1272,10.03902474,6
1273,10.04002474,6
1274,10.04102474,6
1275,10.04202474,6
1276,10.04302474,6
1277,10.04402474,6
1278,10.04502474,6
1279,10.04602474,6
1280,10.04702474,6
1281,10.04802474,6
1282,10.04902474,6
1283,10.05002474,6
1284,10.05102474,6
1285,10.05202474,6
1286,10.05302474,6
1287,10.05402474,6
1288,10.05502474,6
1289,10.05602474,6
1290,10.05702474,6
1291,10.05802474,6
1292,10.05902474,6
1293,10.06002474,6
1294,10.06102474,6
1295,10.06202474,6
1296,10.06302474,6
1297,10.06402474,6
1298,10.06502474,6
1299,10.06602474,6
1300,10.06702474,6
1301,10.06802474,6
1302,10.06902474,6
1303,10.07002474,6
1304,10.07102474,6
1305,10.07202474,6
1306,10.07302474,6
1307,10.07402474,6
1308,10.07502474,6
1309,10.07602474,6
1310,10.07702474,6
1311,10.07802474,6
1312,10.07902474,6
1313,10.08002474,6
1314,10.08102474,6
1315,10.08202474,6
1316,10.08302474,6
1317,10.08402474,6
1318,10.08502474,6
1319,10.08602474,6
1320,10.08702474,6
1321,10.08802474,6
1322,10.08902474,6
1323,10.09002474,6
1324,10.09102474,6
1325,10.09202474,6
1326,10.09302474,6
1327,10.09402474,6
1328,10.09502474,6
1329,10.09602474,6
1330,10.09702474,6
1331,10.09802474,6
1332,10.09902474,6
1333,10.10002474,6
1334,10.10102474,6
1335,10.10202474,6
1336,10.10302474,6
1337,10.10402474,6
1338,10.10502474,6
1339,10.10602474,6
1340,10.10702474,6
1341,10.10802474,6
1342,10.10902474,6
1343,10.11002474,6
1344,10.11102474,6
1345,10.11202474,7
1346,10.11302474,7
1347,10.11402474,7
1348,10.11502474,7
1349,10.11602474,7
1350,10.11702474,7
1351,10.11802474,7
