,x1,y1,Mean,Mean_uncer,sigma,sigma_uncer,A,A_uncer
704,1900,3100,3427.441904,0.064695084,8.528574494,0.004186905,455.147537,8.940950798
705,2000,3100,3423.392014,0.068251961,8.549882598,0.004649927,423.6805027,8.569182536
706,2100,3100,3419.549783,0.053325438,9.064526001,0.002811692,415.7476498,4.432210345
707,2200,3100,3419.660843,0.085814206,10.62102514,0.007348814,356.6126553,6.224284722
708,2300,3100,3416.003152,0.101568546,12.78032978,0.010316919,304.6346917,4.396037978
709,200,3300,3418.357116,0.107594888,12.13302819,0.011582156,324.1762002,6.204109441
710,300,3300,3418.322183,0.090331737,9.773552716,0.008155555,403.9846981,10.45580686
711,400,3300,3418.802923,0.085063525,8.837881673,0.007231184,444.1673397,13.69440014
712,500,3300,3423.160013,0.092737227,9.276171726,0.008653134,385.7772031,11.24271733
713,600,3300,3429.987878,0.094821859,9.912864822,0.009006691,308.2845906,6.52388158
714,700,3300,3435.154389,0.173232103,11.43792131,0.030553244,94.82562929,1.546537929
715,800,3300,3436.680083,0.103878871,9.43279919,0.010787063,232.9521988,4.910482158
716,900,3300,3432.890228,0.062420542,8.769165676,0.003909139,395.4930567,5.976521911
717,1000,3300,3438.795562,0.056715639,-9.043616985,0.003217207,413.2138177,5.036701934
718,1900,3300,3426.48801,0.056289326,8.348554528,0.003177353,464.0514513,7.376729096
719,2000,3300,3423.693979,0.05510292,8.792938893,0.003087282,434.7554418,5.624404003
720,2100,3300,3421.931956,0.088919266,9.265681264,0.007909126,426.87927,12.57943786
721,2200,3300,3430.71079,0.227739649,15.61076073,0.052278144,210.5584994,7.083181438
722,2300,3300,3423.846371,0.158143401,15.74908795,0.025267724,242.7114007,4.539398717
723,1900,3400,3425.091494,0.074615397,7.963887426,0.005588302,493.5077867,16.06928971
724,2000,3400,3421.922232,0.068417701,8.601726749,0.004649216,452.6676255,9.664239626
725,2100,3400,3419.173198,0.059505395,9.011617159,0.003550122,423.5134359,5.885402718
726,2200,3400,3418.769959,0.076132149,10.73563703,0.00581438,358.7806735,4.873024661
727,2300,3400,3416.398688,0.102587679,12.93883458,0.010524791,299.6635646,4.233623013
728,1900,3500,3423.839443,0.072965017,8.15322884,0.005318949,483.8681818,14.05171093
729,2000,3500,3419.129877,0.075668615,8.166041013,0.005772684,479.9497804,14.96928168
730,2100,3500,3418.338719,0.064007029,9.282167515,0.004098499,402.4122439,5.775512927
731,2200,3500,3417.50866,0.084097679,10.64448922,0.007020645,345.3468476,5.538656936
732,2300,3500,3414.513344,0.112204414,12.79931631,0.012585448,305.460914,5.379138801
733,1900,3600,3420.521044,0.054986567,8.386676053,0.003045099,461.3434674,6.869680035
734,2000,3600,3420.191674,0.072048047,8.73278983,0.005171984,415.1613578,8.779204989
735,2100,3600,3418.595239,0.055556441,9.244513299,0.003105008,406.7967067,4.479566185
736,2200,3600,3415.569706,0.097514981,10.72103766,0.009507126,366.0140046,8.317216124
737,2300,3600,3413.203136,0.082151151,13.0934893,0.006751327,287.3039508,2.442210378
738,1900,3700,3420.010011,0.05498158,8.155977059,0.003030693,473.8236777,7.665378011
739,2000,3700,3419.394994,0.080971818,9.413384145,0.00657434,407.5907403,9.242744944
740,2100,3700,3425.282471,0.271563522,11.77060331,0.074667797,106.1778302,4.508102189
741,2200,3700,3415.096555,0.097184079,10.98292553,0.009459189,347.8800892,7.111393905
742,2300,3700,3413.645403,0.112379304,13.20624459,0.012632763,280.3840495,4.252336488
743,1900,3800,3419.85949,0.065421062,8.401286512,0.004239857,453.6318678,9.270662582
744,2000,3800,3417.538081,0.064283575,8.352105886,0.004135686,473.9756763,9.984941815
745,2100,3800,3415.669718,0.095677073,9.216104435,0.00915066,410.0379871,13.5871967
746,2200,3800,3415.05446,0.083818273,10.76632424,0.007030112,321.6732339,4.704193734
